tconst,averageRating,numVotes
tt0009249,4.0,8
tt0009252,6.1,18
tt0009257,6.0,7
tt0009273,6.7,39
tt0009278,7.0,7
tt0009279,5.4,10
tt0009289,8.2,6
tt0009302,7.4,8
tt0009304,5.1,9
tt0009305,6.6,9
tt0009306,6.9,37
tt0009309,6.8,21
tt0009325,5.7,13
tt0009326,6.7,104
tt0009334,7.5,6
tt0009356,6.5,602
tt0009358,6.3,7
tt0009359,5.8,11
tt0009369,7.0,1020
tt0009376,7.3,6
tt0009400,7.0,10
tt0009405,6.5,21
tt0009406,5.8,31
tt0009415,7.0,7
tt0009416,4.5,6
tt0009420,6.7,26
tt0009423,6.1,7
tt0009425,7.5,6
tt0009440,6.6,153
tt0009445,9.3,12
tt0009454,6.5,6
tt0009470,8.5,6
tt0009475,6.5,468
tt0009480,6.3,12
tt0009492,8.2,15
tt0009494,4.5,25
tt0009523,7.4,9
tt0009527,6.7,7
tt0009544,8.7,17
tt0009546,5.6,12
tt0009547,7.0,6
tt0009549,8.2,6
tt0009550,7.0,22
tt0009551,7.8,5
tt0009559,6.7,304
tt0009560,6.2,23
tt0009561,6.0,6
tt0009568,7.1,29
tt0009573,6.1,22
tt0009578,1.0,6
tt0009580,3.9,25
tt0009587,5.0,6
tt0009588,4.0,6
tt0009596,5.6,8
tt0009600,5.3,11
tt0009608,7.3,671
tt0009610,6.8,8
tt0009611,6.9,5112
tt0009619,6.2,6
tt0009630,8.3,7
tt0009637,7.6,5
tt0009650,6.1,21
tt0009651,6.5,15
tt0009652,7.3,1293
tt0009666,7.0,6
tt0009677,6.8,13
tt0009682,5.9,603
tt0009690,4.2,24
tt0009694,6.8,64
tt0009696,4.2,25
tt0009700,5.0,7
tt0009701,7.4,239
tt0009702,5.2,6
tt0009721,6.4,16
tt0009737,6.1,95
tt0009741,5.0,5
tt0009757,7.2,31
tt0009765,5.1,11
tt0009766,5.0,6
tt0009771,5.0,14
tt0009789,6.1,7
tt0009790,5.8,5
tt0009796,6.7,233
tt0009811,4.5,26
tt0009825,6.2,20
tt0009827,5.5,10
tt0009829,5.2,13
tt0009833,5.1,8
tt0009837,4.2,26
tt0009842,6.6,8
tt0009852,7.0,5
tt0009853,5.5,24
tt0009857,5.0,5
tt0009858,6.5,11
tt0009859,5.0,31
tt0009861,1.0,7
tt0009878,6.9,982
tt0009879,7.0,52
tt0009890,5.1,9
tt0009892,6.6,990
tt0009893,7.2,1478
tt0009894,7.2,129
tt0009900,6.9,794
tt0009903,4.1,31
tt0009905,7.0,61
tt0009915,7.2,126
tt0009918,7.7,45
tt0009922,5.0,7
tt0009936,6.0,9
tt0009937,6.9,1230
tt0009950,5.6,23
tt0009960,6.5,8
tt0009968,7.6,8451
tt0009972,6.0,8
tt0009976,6.5,613
tt0009987,6.6,7
tt0009991,6.1,8
tt0010002,5.0,7
tt0010008,8.3,35
tt0010010,7.3,7
tt0010032,6.6,8
tt0010040,7.4,1263
tt0010045,5.0,26
tt0010049,8.1,35
tt0010058,6.9,8
tt0010059,7.0,6
tt0010060,6.7,785
tt0010061,6.9,40
tt0010071,7.7,1074
tt0010102,5.4,5
tt0010103,6.6,624
tt0010108,6.8,79
tt0010112,6.1,53
tt0010113,6.3,38
tt0010114,5.4,8
tt0010119,4.2,25
tt0010131,6.4,5
tt0010133,4.2,8
tt0010134,4.1,8
tt0010137,7.6,683
tt0010158,5.7,7
tt0010162,7.7,113
tt0010168,5.4,9
tt0010178,6.5,11
tt0010180,6.7,15
tt0010183,5.3,10
tt0010189,6.1,9
tt0010190,6.5,11
tt0010193,6.6,637
tt0010195,6.9,231
tt0010198,4.4,35
tt0010203,7.1,47
tt0010206,6.9,35
tt0010208,5.7,478
tt0010209,6.2,8
tt0010214,4.4,10
tt0010215,6.8,13
tt0010219,6.6,359
tt0010227,6.6,493
tt0010229,5.7,11
tt0010244,7.1,28
tt0010247,7.2,1054
tt0010248,6.2,26
tt0010249,5.7,16
tt0010255,6.4,41
tt0010259,6.7,20
tt0010267,6.9,889
tt0010276,5.0,6
tt0010281,7.1,1099
tt0010284,5.5,8
tt0010292,6.8,8
tt0010298,7.3,78
tt0010307,7.4,1205
tt0010313,5.5,15
tt0010315,7.2,19
tt0010316,6.6,14
tt0010319,1.0,7
tt0010323,8.1,49107
tt0010325,5.7,9
tt0010330,7.2,32
tt0010331,6.6,8
tt0010352,5.2,13
tt0010356,5.8,34
tt0010357,5.9,21
tt0010375,6.8,45
tt0010386,6.9,62
tt0010402,6.5,51
tt0010404,6.4,9
tt0010408,2.9,11
tt0010418,7.8,1627
tt0010419,6.6,10
tt0010422,5.7,9
tt0010428,5.0,8
tt0010432,1.0,7
tt0010438,4.5,27
tt0010444,6.6,8
tt0010446,6.4,99
tt0010456,6.2,147
tt0010466,6.1,139
tt0010470,5.0,7
tt0010476,5.9,15
tt0010483,7.3,9
tt0010484,7.1,140
tt0010490,6.7,16
tt0010495,4.8,5
tt0010497,5.5,6
tt0010501,6.0,9
tt0010505,6.0,7
tt0010515,5.8,8
tt0010533,6.3,63
tt0010534,6.2,13
tt0010544,4.1,28
tt0010548,7.1,19
tt0010558,5.1,7
tt0010559,6.5,90
tt0010562,7.0,13
tt0010566,7.2,12
tt0010598,6.4,698
tt0010600,7.3,1466
tt0010612,6.7,7
tt0010616,7.2,29
tt0010628,4.7,27
tt0010629,4.1,25
tt0010630,5.2,5
tt0010635,6.6,578
tt0010640,4.1,25
tt0010641,6.9,7
tt0010651,6.6,5
tt0010654,4.5,8
tt0010662,6.6,403
tt0010674,5.8,10
tt0010680,5.8,218
tt0010690,5.9,7
tt0010694,6.9,7
tt0010703,6.3,16
tt0010708,6.2,12
tt0010715,6.1,10
tt0010719,7.0,6
tt0010726,6.6,931
tt0010729,6.3,10
tt0010733,7.0,5
tt0010754,6.6,38
tt0010755,6.7,90
tt0010764,6.9,14
tt0010766,7.0,20
tt0010781,3.2,10
tt0010791,6.4,52
tt0010793,7.1,7
tt0010795,6.9,18
tt0010799,7.4,5
tt0010806,7.2,1457
tt0010813,7.8,5
tt0010821,6.3,385
tt0010822,6.2,9
tt0010844,6.5,294
tt0010847,6.9,8
tt0010849,6.4,13
tt0010853,6.7,99
tt0010859,6.2,25
tt0010871,6.0,11
tt0010879,7.1,716
tt0010890,6.5,297
tt0010892,6.3,9
tt0010900,2.1,9
tt0010905,8.4,16
tt0010915,6.3,13
tt0010920,6.9,9
tt0010925,6.5,710
tt0010940,5.3,9
tt0010942,4.8,5
tt0010943,3.4,18
tt0010947,6.9,23
tt0010949,1.0,7
tt0010950,5.3,10
tt0010953,6.7,107
tt0010960,4.0,7
tt0010962,6.8,507
tt0010964,8.3,61
tt0010965,5.1,21
tt0010967,6.7,9
tt0010968,4.3,11
tt0010969,6.9,287
tt0010987,6.7,13
tt0010994,6.5,6
tt0011000,6.8,997
tt0011001,6.8,9
tt0011012,5.7,7
tt0011031,6.4,41
tt0011036,6.3,9
tt0011042,6.8,12
tt0011069,5.6,5
tt0011070,7.5,16
tt0011073,6.8,9
tt0011076,5.8,35
tt0011078,5.7,35
tt0011079,6.8,8
tt0011087,6.0,7
tt0011093,6.3,16
tt0011094,5.8,9
tt0011098,7.4,8
tt0011110,6.9,8
tt0011117,7.8,50
tt0011118,6.3,6
tt0011127,7.6,9
tt0011128,6.3,81
tt0011130,7.0,4282
tt0011133,6.9,8
tt0011148,2.2,10
tt0011149,1.0,7
tt0011154,5.2,9
tt0011157,6.7,636
tt0011163,6.0,25
tt0011172,6.1,7
